DATA_DIAGNOSTICO,CASOS,ÓBITO COVID-19,IDADE_MEDIA,CASOS_ACUMULADOS,POPULAÇÃO SUSCETÍVEL,ÓBITOS ACUMULADOS,MORTALIDADE / 100k,LETALIDADE_ACUMULADA %,LETALIDADE %,INFECTADOS,RECUPERADOS
2020-03-23,2,0,32.5,2,332331,0,0.0,0.0,0.0,2.0,0.0
2020-03-30,9,1,42.55555555555556,11,332322,1,0.30091296995083083,9.090909090909092,11.11111111111111,10.0,1.0
2020-04-06,35,1,47.31428571428572,46,332287,2,0.6018893306087809,4.3478260869565215,2.857142857142857,44.0,2.0
2020-04-13,16,1,43.125,62,332271,3,0.9028774704984787,4.838709677419355,6.25,57.0,5.0
2020-04-20,6,0,50.333333333333336,68,332265,3,0.9028937745474245,4.411764705882353,0.0,55.0,14.0
2020-04-27,26,1,39.46153846153846,94,332239,4,1.2039525763080192,4.25531914893617,3.8461538461538463,46.0,50.0
2020-05-04,14,0,34.5,108,332225,4,1.2040033110091053,3.7037037037037033,0.0,45.0,66.0
2020-05-11,38,1,37.13157894736842,146,332187,5,1.5051763013001713,3.4246575342465753,2.631578947368421,76.0,73.0
2020-05-18,73,1,39.35616438356164,219,332114,6,1.8066085741642932,2.73972602739726,1.36986301369863,123.0,100.0
2020-05-25,142,1,35.471830985915496,361,331972,7,2.1086115696504524,1.9390581717451523,0.7042253521126761,250.0,115.0
2020-06-01,260,6,38.223076923076924,621,331712,13,3.9190623191202008,2.0933977455716586,2.307692307692308,467.0,159.0
2020-06-08,321,7,40.838006230529594,942,331391,20,6.035166917629025,2.1231422505307855,2.1806853582554515,709.0,239.0
2020-06-15,346,18,41.09826589595376,1288,331045,38,11.478801975562234,2.950310559006211,5.202312138728324,896.0,399.0
2020-06-22,858,19,39.142191142191145,2146,330187,57,17.262944937262823,2.6561043802423114,2.2144522144522143,1481.0,678.0
2020-06-29,780,14,39.70128205128205,2926,329407,71,21.553883190096144,2.426520847573479,1.7948717948717947,1933.0,1013.0
2020-07-06,527,10,37.97343453510437,3453,328880,81,24.62904402821698,2.3457862728062553,1.8975332068311195,2122.0,1369.0
2020-07-13,367,14,39.84196185286103,3820,328513,95,28.918185886098875,2.486910994764398,3.8147138964577656,1636.0,2241.0
2020-07-20,434,6,39.16129032258065,4254,328079,101,30.785268182358518,2.374236013164081,1.3824884792626728,1298.0,3027.0
2020-07-27,437,7,40.60640732265446,4691,327642,108,32.96280696613987,2.302280963547218,1.6018306636155606,1211.0,3561.0
2020-08-03,318,7,40.5062893081761,5009,327324,115,35.13338465862571,2.295867438610501,2.20125786163522,1169.0,3935.0
2020-08-10,328,4,38.045731707317074,5337,326996,119,36.39188246951033,2.2297170695147086,1.2195121951219512,1065.0,4373.0
2020-08-17,318,7,39.0377358490566,5655,326678,126,38.570090425434216,2.2281167108753315,2.20125786163522,946.0,4817.0
2020-08-24,272,3,37.161764705882355,5927,326406,129,39.521332328449844,2.1764805129070357,1.1029411764705883,904.0,5138.0
